0, 1
0, 2
0, 3
0, 57
1, 2
1, 3
1, 4
1, 47
1, 57
1, 62
2, 3
2, 5
2, 18
2, 62
3, 4
3, 5
4, 5
4, 7
4, 8
4, 50
5, 6
5, 7
5, 18
6, 7
6, 18
6, 37
6, 39
6, 40
6, 44
6, 53
6, 56
6, 60
7, 8
7, 9
7, 55
7, 56
7, 60
8, 9
8, 10
8, 50
9, 10
9, 12
9, 55
9, 56
9, 61
10, 11
10, 12
10, 17
10, 50
11, 17
11, 36
11, 50
12, 13
12, 14
12, 61
13, 14
13, 61
14, 15
15, 16
18, 44
19, 21
19, 35
19, 42
20, 28
20, 32
20, 45
20, 48
21, 42
21, 47
21, 57
21, 62
22, 32
22, 43
22, 58
23, 24
23, 34
24, 25
25, 29
25, 31
26, 27
26, 31
27, 30
28, 29
28, 31
28, 32
28, 45
29, 31
30, 33
35, 42
35, 54
35, 63
36, 50
37, 38
37, 39
37, 56
38, 46
38, 53
38, 56
38, 60
39, 40
39, 44
39, 53
39, 60
40, 44
40, 53
41, 49
41, 51
41, 52
41, 53
41, 59
42, 63
43, 58
44, 53
45, 48
46, 49
46, 55
46, 56
46, 61
47, 57
47, 62
48, 52
49, 53
49, 55
49, 59
49, 61
51, 52
51, 59
52, 59
53, 60
54, 63
55, 60
55, 61
56, 61
57, 62
