0.71812, 0.478706, 0.162735
0.723824, 0.462781, 0.159677
0.713242, 0.494884, 0.163763
0.706642, 0.513792, 0.167228
0.698326, 0.531939, 0.172658
0.691646, 0.550157, 0.176151
0.733031, 0.451419, 0.155611
0.686082, 0.56371, 0.179369
0.741312, 0.440183, 0.151105
0.730441, 0.433888, 0.158913
0.739115, 0.424951, 0.14842
0.732782, 0.410925, 0.157394
0.728283, 0.410608, 0.182465
0.722208, 0.404926, 0.215008
0.715031, 0.385098, 0.256748
0.704482, 0.356905, 0.316792
0.692027, 0.320203, 0.39106
0.67684, 0.272999, 0.485169
0.641336, 0.25371, 0.56615
0.685598, 0.204657, 0.575553
0.714122, 0.155398, 0.607623
0.755047, 0.0841558, 0.654548
0.598965, 0.251328, 0.611013
0.516087, 0.232635, 0.660703
0.494377, 0.297525, 0.823466
0.355015, 0.471724, 0.934351
0.208597, 0.162274, 0.842941
0.642865, 0.680498, 0.200347
0.661296, 0.630864, 0.191368
0.735222, 0.345001, 0.117943
0.676488, 0.590118, 0.183867
0.734506, 0.393349, 0.137932
0.626597, 0.724435, 0.20821
0.733965, 0.291792, 0.0972578
